Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CURA_Healthcare_Services_History_003_TestSuite,Chrome 122.0.0.0,,,04-03-2024 10:44:58,04-03-2024 10:45:34,35.788s,PASSED
,,,,,,,
Test Cases/CURA_Healthcare_Services/TC_CHS_History_003,Chrome 122.0.0.0,,,04-03-2024 10:44:59,04-03-2024 10:45:34,35.315s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,04-03-2024 10:45:00,04-03-2024 10:45:05,5.327s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 122.0.0.0,,,04-03-2024 10:45:05,04-03-2024 10:45:16,10.786s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Chrome 122.0.0.0,,,04-03-2024 10:45:16,04-03-2024 10:45:17,0.866s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/a_Login""))",Chrome 122.0.0.0,,,04-03-2024 10:45:17,04-03-2024 10:45:18,1.419s,PASSED
"setText(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 122.0.0.0,,,04-03-2024 10:45:18,04-03-2024 10:45:19,1.260s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 122.0.0.0,,,04-03-2024 10:45:19,04-03-2024 10:45:20,0.911s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 122.0.0.0,,,04-03-2024 10:45:20,04-03-2024 10:45:23,2.296s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 122.0.0.0,,,04-03-2024 10:45:23,04-03-2024 10:45:25,2.213s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/label_Apply for hospital readmission""))",Chrome 122.0.0.0,,,04-03-2024 10:45:25,04-03-2024 10:45:25,0.580s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/label_Medicaid""))",Chrome 122.0.0.0,,,04-03-2024 10:45:25,04-03-2024 10:45:26,0.638s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/div_Visit Date (Required)_input-group-addon""))",Chrome 122.0.0.0,,,04-03-2024 10:45:26,04-03-2024 10:45:27,0.611s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/td_27""))",Chrome 122.0.0.0,,,04-03-2024 10:45:27,04-03-2024 10:45:27,0.550s,PASSED
"setText(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/textarea_Comment_comment""), ""FOR Medical Checkup"")",Chrome 122.0.0.0,,,04-03-2024 10:45:27,04-03-2024 10:45:28,1.062s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 122.0.0.0,,,04-03-2024 10:45:28,04-03-2024 10:45:30,1.626s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Chrome 122.0.0.0,,,04-03-2024 10:45:30,04-03-2024 10:45:30,0.455s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/a_History""))",Chrome 122.0.0.0,,,04-03-2024 10:45:30,04-03-2024 10:45:31,1.002s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 122.0.0.0,,,04-03-2024 10:45:31,04-03-2024 10:45:33,1.130s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,04-03-2024 10:45:33,04-03-2024 10:45:34,1.741s,PASSED
