Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CURA_Healthcare_Services_LOGOUT_004_TestSuite,Chrome 122.0.0.0,,,04-03-2024 10:46:00,04-03-2024 10:46:26,26.025s,PASSED
,,,,,,,
Test Cases/CURA_Healthcare_Services/TC_CHS_LOGOUT_001,Chrome 122.0.0.0,,,04-03-2024 10:46:01,04-03-2024 10:46:26,25.621s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,04-03-2024 10:46:01,04-03-2024 10:46:06,4.574s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 122.0.0.0,,,04-03-2024 10:46:06,04-03-2024 10:46:13,6.588s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_LOGOUT_004_OR/Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Chrome 122.0.0.0,,,04-03-2024 10:46:13,04-03-2024 10:46:17,4.070s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_LOGOUT_004_OR/Page_CURA Healthcare Service/a_Login""))",Chrome 122.0.0.0,,,04-03-2024 10:46:17,04-03-2024 10:46:19,2.120s,PASSED
"setText(findTestObject(""Object Repository/CURA Healthcare Services_LOGOUT_004_OR/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 122.0.0.0,,,04-03-2024 10:46:19,04-03-2024 10:46:20,1.083s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CURA Healthcare Services_LOGOUT_004_OR/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 122.0.0.0,,,04-03-2024 10:46:20,04-03-2024 10:46:21,0.816s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_LOGOUT_004_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 122.0.0.0,,,04-03-2024 10:46:21,04-03-2024 10:46:23,2.123s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_LOGOUT_004_OR/Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Chrome 122.0.0.0,,,04-03-2024 10:46:23,04-03-2024 10:46:23,0.628s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_LOGOUT_004_OR/Page_CURA Healthcare Service/a_Logout""))",Chrome 122.0.0.0,,,04-03-2024 10:46:23,04-03-2024 10:46:25,1.633s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,04-03-2024 10:46:25,04-03-2024 10:46:26,1.461s,PASSED
