Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CURA_Healthcare_Services_LOGIN_001_TestSuite,Chrome 122.0.0.0,,,04-03-2024 12:19:25,04-03-2024 12:21:24,1m - 59.062s,PASSED
,,,,,,,
Test Cases/CURA_Healthcare_Services/TC_CHS_LOGIN_001,Chrome 122.0.0.0,,,04-03-2024 12:19:26,04-03-2024 12:21:24,1m - 58.023s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 122.0.0.0,,,04-03-2024 12:19:26,04-03-2024 12:19:26,0.002s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,04-03-2024 12:19:26,04-03-2024 12:20:27,1m - 0.596s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 122.0.0.0,,,04-03-2024 12:20:27,04-03-2024 12:21:02,35.499s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_LOGIN_001_OR/Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Chrome 122.0.0.0,,,04-03-2024 12:21:02,04-03-2024 12:21:08,5.378s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_LOGIN_001_OR/Page_CURA Healthcare Service/a_Login""))",Chrome 122.0.0.0,,,04-03-2024 12:21:08,04-03-2024 12:21:12,3.767s,PASSED
"setText(findTestObject(""Object Repository/CURA Healthcare Services_LOGIN_001_OR/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 122.0.0.0,,,04-03-2024 12:21:12,04-03-2024 12:21:14,2.473s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CURA Healthcare Services_LOGIN_001_OR/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 122.0.0.0,,,04-03-2024 12:21:14,04-03-2024 12:21:15,1.220s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_LOGIN_001_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 122.0.0.0,,,04-03-2024 12:21:15,04-03-2024 12:21:18,2.655s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,04-03-2024 12:21:18,04-03-2024 12:21:24,5.927s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,04-03-2024 12:21:24,04-03-2024 12:21:24,0.000s,PASSED
