Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CURA_Healthcare_Services_History_003_TestSuite,Chrome 122.0.0.0,,,04-03-2024 12:27:14,04-03-2024 12:28:16,1m - 2.453s,PASSED
,,,,,,,
Test Cases/CURA_Healthcare_Services/TC_CHS_History_003,Chrome 122.0.0.0,,,04-03-2024 12:27:14,04-03-2024 12:28:16,1m - 1.762s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 122.0.0.0,,,04-03-2024 12:27:15,04-03-2024 12:27:15,0.001s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,04-03-2024 12:27:15,04-03-2024 12:27:31,16.426s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 122.0.0.0,,,04-03-2024 12:27:31,04-03-2024 12:27:35,3.427s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Chrome 122.0.0.0,,,04-03-2024 12:27:35,04-03-2024 12:27:44,9.419s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/a_Login""))",Chrome 122.0.0.0,,,04-03-2024 12:27:44,04-03-2024 12:27:46,2.018s,PASSED
"setText(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 122.0.0.0,,,04-03-2024 12:27:46,04-03-2024 12:27:48,1.620s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 122.0.0.0,,,04-03-2024 12:27:48,04-03-2024 12:27:49,1.749s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 122.0.0.0,,,04-03-2024 12:27:49,04-03-2024 12:27:52,2.782s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 122.0.0.0,,,04-03-2024 12:27:52,04-03-2024 12:27:54,1.604s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/label_Apply for hospital readmission""))",Chrome 122.0.0.0,,,04-03-2024 12:27:54,04-03-2024 12:27:54,0.568s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/label_Medicaid""))",Chrome 122.0.0.0,,,04-03-2024 12:27:54,04-03-2024 12:27:55,0.669s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/div_Visit Date (Required)_input-group-addon""))",Chrome 122.0.0.0,,,04-03-2024 12:27:55,04-03-2024 12:27:56,0.599s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/td_27""))",Chrome 122.0.0.0,,,04-03-2024 12:27:56,04-03-2024 12:27:57,0.925s,PASSED
"setText(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/textarea_Comment_comment""), ""FOR Medical Checkup"")",Chrome 122.0.0.0,,,04-03-2024 12:27:57,04-03-2024 12:27:58,1.048s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 122.0.0.0,,,04-03-2024 12:27:58,04-03-2024 12:28:00,2.158s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Chrome 122.0.0.0,,,04-03-2024 12:28:00,04-03-2024 12:28:00,0.516s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/a_History""))",Chrome 122.0.0.0,,,04-03-2024 12:28:00,04-03-2024 12:28:02,1.704s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Services_History_003_OR/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 122.0.0.0,,,04-03-2024 12:28:02,04-03-2024 12:28:04,2.237s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,04-03-2024 12:28:04,04-03-2024 12:28:16,11.860s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,04-03-2024 12:28:16,04-03-2024 12:28:16,0.001s,PASSED
